feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,score
11.5,0.18,0.51,4,0.83,0.104,4,23,36,0.9996,3.28,26,0.97,10.1,6
10.3,0.32,0.45,6.4,0.88,0.073,5,13,22,0.9976,3.23,53,0.82,12.6,8
8.9,0.4,0.32,5.6,0.78,0.087,10,47,23,0.9991,3.38,29,0.77,10.5,7
11.4,0.26,0.44,3.6,0.98,0.071,6,19,37,0.9986,3.12,92,0.82,9.3,6
7.7,0.27,0.68,3.5,0.88,0.358,5,10,19,0.9972,3.25,12,1.08,9.9,7
7.6,0.52,0.12,3,0.83,0.067,12,53,48,0.9971,3.36,73,0.57,9.1,5
8.9,0.4,0.32,5.6,0.78,0.087,10,47,10,0.9991,3.38,99,0.77,10.5,7
9.9,0.59,0.07,3.4,0.88,0.102,32,71,12,1.00015,3.31,51,0.71,9.8,5
9.9,0.59,0.07,3.4,0.83,0.102,32,71,37,1.00015,3.31,82,0.71,9.8,5
12,0.45,0.55,2,0.68,0.073,25,49,48,0.9997,3.1,89,0.76,10.3,6
7.5,0.4,0.12,3,0.68,0.092,29,53,22,0.9967,3.37,29,0.7,10.3,6
8.7,0.52,0.09,2.5,0.59,0.091,20,49,28,0.9976,3.34,93,0.86,10.6,7
11.6,0.42,0.53,3.3,0.93,0.105,33,98,46,1.001,3.2,23,0.95,9.2,5
8.7,0.52,0.09,2.5,0.63,0.091,20,49,14,0.9976,3.34,16,0.86,10.6,7
11,0.2,0.48,2,0.83,0.343,6,18,28,0.9979,3.3,69,0.71,10.5,5
10.4,0.55,0.23,2.7,0.83,0.091,18,48,27,0.9994,3.22,56,0.64,10.3,6
6.9,0.36,0.25,2.4,0.68,0.098,5,NA,12,0.9964,3.41,74,0.6,10.1,6
13.3,0.34,0.52,3.2,0.59,0.094,17,53,44,1.0014,3.05,44,0.81,9.5,6
10.8,0.5,0.46,2.5,0.73,0.073,5,27,10,1.0001,3.05,0,0.64,9.5,5
10.6,0.83,0.37,2.6,0.98,0.086,26,70,10,0.9981,3.16,20,0.52,9.9,5
7.1,0.63,0.06,2,0.88,0.083,8,29,26,0.99855,3.67,28,0.73,9.6,5
7.2,0.65,0.02,2.3,0.78,0.094,5,31,22,0.9993,3.67,42,0.8,9.7,5
6.9,0.67,0.06,2.1,0.54,0.08,8,33,26,0.99845,3.68,82,0.71,9.6,5
7.5,0.53,0.06,2.6,0.73,0.086,20,44,30,0.9965,3.38,7,0.59,10.7,6
11.1,0.18,0.48,1.5,0.73,0.068,7,15,27,0.9973,3.22,13,0.64,10.1,6
8.3,0.705,0.12,2.6,0.78,0.092,12,28,29,0.9994,3.51,79,0.72,10,5
7.4,0.67,0.12,1.6,0.63,0.186,5,21,46,0.996,3.39,76,0.54,9.5,5
8.4,0.65,0.6,2.1,0.78,0.112,12,90,10,0.9973,3.2,7,0.52,9.2,5
10.3,0.53,0.48,2.5,0.93,0.063,6,25,28,0.9998,3.12,92,0.59,9.3,6
7.6,0.62,0.32,2.2,0.59,0.082,7,54,13,0.9966,3.36,38,0.52,9.4,5
10.3,0.41,0.42,2.4,0.73,0.213,6,14,30,0.9994,3.19,97,0.62,9.5,6
10.3,0.43,0.44,2.4,0.54,0.214,5,12,36,0.9994,3.19,76,0.63,9.5,6
7.4,0.29,0.38,1.7,0.54,0.062,9,30,32,0.9968,3.41,92,0.53,9.5,6
10.3,0.53,0.48,2.5,0.63,0.063,6,25,16,0.9998,3.12,94,0.59,9.3,6
NA,0.53,0.24,2,0.78,0.072,15,105,36,0.996,3.27,24,0.54,9.4,6
9,0.46,0.31,2.8,0.78,0.093,19,98,26,0.99815,3.32,71,0.63,9.5,6
8.6,0.47,0.3,3,0.78,0.076,30,135,35,0.9976,3.3,70,0.53,9.4,5
7.4,0.36,0.29,2.6,0.78,0.087,26,72,12,0.99645,3.39,76,0.68,11,5
7.1,0.35,0.29,2.5,0.83,0.096,20,53,27,0.9962,3.42,38,0.65,11,6
9.6,0.56,0.23,3.4,0.88,0.102,37,92,13,0.9996,3.3,100,0.65,10.1,5
9.6,0.77,0.12,2.9,0.63,0.082,30,74,28,0.99865,3.3,99,0.64,10.4,6
9.8,0.66,0.39,3.2,0.54,0.083,21,59,31,0.9989,3.37,90,0.71,11.5,7
9.6,0.77,0.12,2.9,0.98,0.082,30,74,39,0.99865,3.3,89,0.64,10.4,6
9.8,0.66,0.39,3.2,0.78,0.083,21,59,36,0.9989,3.37,8,0.71,11.5,7
9.3,0.61,0.26,3.4,0.98,0.09,25,87,17,0.99975,3.24,27,0.62,9.7,5
7.8,0.62,0.05,2.3,0.93,0.079,6,18,46,0.99735,3.29,54,0.63,9.3,5
10.3,0.59,0.42,2.8,0.59,0.09,35,73,26,0.999,3.28,85,0.7,9.5,6
10,0.49,0.2,11,0.98,0.071,13,50,49,1.0015,3.16,69,0.69,9.2,6
NA,0.49,0.2,11,0.73,0.071,13,50,19,1.0015,3.16,7,0.69,9.2,6
11.6,0.53,0.66,3.65,0.98,0.121,6,14,49,0.9978,3.05,30,0.74,11.5,7
10.3,0.44,0.5,4.5,0.93,0.107,5,13,48,0.998,3.28,37,0.83,11.5,5
13.4,0.27,0.62,2.6,0.54,0.082,6,21,19,1.0002,3.16,39,0.67,9.7,6
10.7,0.46,0.39,2,0.68,0.061,7,15,13,0.9981,3.18,37,0.62,9.5,5
10.2,0.36,0.64,2.9,0.83,0.122,10,41,41,0.998,3.23,85,0.66,12.5,6
10.2,0.36,0.64,2.9,0.73,0.122,10,41,37,0.998,3.23,62,0.66,12.5,6
8,0.58,0.28,3.2,0.63,0.066,21,114,13,0.9973,3.22,56,0.54,9.4,6
8.4,0.56,0.08,2.1,0.73,0.105,16,44,44,0.9958,3.13,89,0.52,11,5
7.9,0.65,0.01,2.5,0.63,0.078,17,38,45,0.9963,3.34,41,0.74,11.7,7
11.9,0.695,0.53,3.4,0.54,0.128,7,21,12,0.9992,3.17,51,0.84,12.2,7
8.9,0.43,0.45,1.9,0.73,0.052,6,16,41,0.9948,3.35,94,0.7,12.5,6
7.8,0.43,0.32,2.8,0.98,0.08,29,58,46,0.9974,3.31,63,0.64,10.3,5
12.4,0.49,0.58,3,0.59,0.103,28,99,49,1.0008,3.16,15,1,11.5,6
12.5,0.28,0.54,2.3,0.93,0.082,12,29,34,0.9997,3.11,90,1.36,9.8,7
12.2,0.34,0.5,2.4,0.63,0.066,10,21,30,1,3.12,51,1.18,9.2,6
10.6,0.42,0.48,2.7,0.88,0.065,5,18,18,0.9972,3.21,60,0.87,11.3,6
10.9,0.39,0.47,1.8,0.83,0.118,6,14,18,0.9982,3.3,55,0.75,9.8,6
10.9,0.39,0.47,1.8,0.83,0.118,6,14,10,0.9982,3.3,92,0.75,9.8,6
11.9,0.57,0.5,2.6,0.93,0.082,6,32,35,1.0006,3.12,25,0.78,10.7,6
7,0.685,0,1.9,0.83,0.067,40,63,32,0.9979,3.6,21,0.81,9.9,5
6.6,0.815,0.02,2.7,0.59,0.072,17,34,20,0.9955,3.58,38,0.89,12.3,7
13.8,0.49,0.67,3,0.73,0.093,6,15,50,0.9986,3.02,28,0.93,12,6
9.6,0.56,0.31,2.8,0.83,0.089,15,46,44,0.9979,3.11,27,0.92,10,6
9.1,0.785,0,2.6,0.59,0.093,11,28,50,0.9994,3.36,1,0.86,9.4,6
10.7,0.67,0.22,2.7,0.83,0.107,17,34,35,1.0004,3.28,49,0.98,9.9,6
9.1,0.795,0,2.6,0.83,0.096,11,26,18,0.9994,3.35,51,0.83,9.4,6
7.7,0.665,0,2.4,0.68,0.09,8,NA,24,0.9974,3.27,0,0.73,9.3,5
13.5,0.53,0.79,4.8,0.83,0.12,23,77,35,1.0018,3.18,20,0.77,13,5
6.1,0.21,0.4,1.4,0.78,0.066,40.5,165,18,0.9912,3.25,76,0.59,11.9,6
6.7,0.75,0.01,2.4,0.68,0.078,17,32,40,0.9955,3.55,80,0.61,12.8,6
11.5,0.41,0.52,3,0.54,0.08,29,55,49,1.0001,3.26,56,0.88,11,5
10.5,0.42,0.66,2.95,0.68,0.116,12,29,43,0.997,3.24,1,0.75,11.7,7
11.9,0.43,0.66,3.1,0.73,0.109,10,23,14,1,3.15,46,0.85,10.4,7
12.6,0.38,0.66,2.6,0.73,0.088,10,41,26,1.001,3.17,55,0.68,9.8,6
8.2,0.7,0.23,2,0.98,0.099,14,81,37,0.9973,3.19,34,0.7,9.4,5
8.6,0.45,0.31,2.6,0.78,0.086,21,50,15,0.9982,3.37,54,0.91,9.9,6
11.9,0.58,0.66,2.5,0.73,0.072,6,37,19,0.9992,3.05,33,0.56,10,5
12.5,0.46,0.63,2,0.93,0.071,6,15,27,0.9988,2.99,29,0.87,10.2,5
12.8,0.615,0.66,5.8,0.93,0.083,7,42,11,1.0022,3.07,39,0.73,10,7
10,0.42,0.5,3.4,0.54,0.107,7,21,45,0.9979,3.26,33,0.93,11.8,6
12.8,0.615,0.66,5.8,0.63,0.083,7,42,28,1.0022,3.07,20,0.73,10,7
10.4,0.575,0.61,2.6,0.63,0.076,11,24,30,1,3.16,88,0.69,9,5
10.3,0.34,0.52,2.8,0.63,0.159,15,75,20,0.9998,3.18,13,0.64,9.4,5
9.4,0.27,0.53,2.4,0.63,0.074,6,18,45,0.9962,3.2,12,1.13,12,7
6.9,0.765,0.02,2.3,0.63,0.063,35,63,26,0.9975,3.57,86,0.78,9.9,5
7.9,0.24,0.4,1.6,0.93,0.056,11,25,23,0.9967,3.32,5,0.87,8.7,6
9.1,0.28,0.48,1.8,0.63,0.067,26,46,10,0.9967,3.32,63,1.04,10.6,6
7.4,0.55,0.22,2.2,0.98,0.106,12,72,13,0.9959,3.05,46,0.63,9.2,5
14,0.41,0.63,3.8,0.78,0.089,6,47,32,1.0014,3.01,85,0.81,10.8,6
11.5,0.54,0.71,4.4,0.68,0.124,6,15,44,0.9984,3.01,20,0.83,11.8,7
11.5,0.45,0.5,3,0.63,0.078,19,47,14,1.0003,3.26,53,1.11,11,6
9.4,0.27,0.53,2.4,0.83,0.074,6,18,11,0.9962,3.2,36,1.13,12,7
11.4,0.625,0.66,6.2,0.78,0.088,6,24,19,0.9988,3.11,14,0.99,13.3,6
8.3,0.42,0.38,2.5,0.98,0.094,24,60,21,0.9979,3.31,90,0.7,10.8,6
8.3,0.26,0.42,2,0.83,0.08,11,27,40,0.9974,3.21,44,0.8,9.4,6
13.7,0.415,0.68,2.9,0.78,0.085,17,43,34,1.0014,3.06,23,0.8,10,6
8.3,0.26,0.42,2,0.78,0.08,11,27,34,0.9974,3.21,98,0.8,9.4,6
8.3,0.26,0.42,2,0.68,0.08,11,27,42,0.9974,3.21,82,0.8,9.4,6
7.7,0.51,0.28,2.1,0.83,0.087,23,54,41,0.998,3.42,14,0.74,9.2,5
7.4,0.63,0.07,2.4,0.93,0.09,11,37,14,0.9979,3.43,81,0.76,9.7,6
7.8,0.54,0.26,2,0.98,0.088,23,48,14,0.9981,3.41,66,0.74,9.2,6
8.3,0.66,NA,1.9,0.73,0.079,17,42,31,0.9972,3.31,81,0.54,9.6,6
7.8,0.46,0.26,1.9,0.88,0.088,23,53,43,0.9981,3.43,36,0.74,9.2,6
9.6,0.38,0.31,2.5,0.98,0.096,16,49,39,0.9982,3.19,63,0.7,10,7
5.6,0.85,0.05,1.4,0.59,0.045,12,88,32,0.9924,3.56,93,0.82,12.9,8
13.7,0.415,0.68,2.9,0.83,0.085,17,43,48,1.0014,3.06,76,0.8,10,6
9.5,0.37,0.52,2,0.98,0.082,6,26,22,0.998,3.18,91,0.51,9.5,5
8.4,0.665,0.61,2,0.93,0.112,13,95,45,0.997,3.16,8,0.54,9.1,5
12.7,0.6,0.65,2.3,0.54,0.063,6,25,49,0.9997,3.03,88,0.57,9.9,5
12,0.37,0.76,4.2,0.78,0.066,7,38,20,1.0004,3.22,24,0.6,13,7
6.6,0.735,0.02,7.9,0.63,0.122,68,124,28,0.9994,3.47,44,0.53,9.9,5
11.5,0.59,0.59,2.6,0.59,0.087,13,49,32,0.9988,3.18,60,0.65,11,6
11.5,0.59,0.59,2.6,0.78,0.087,13,49,42,0.9988,3.18,20,0.65,11,6
8.7,0.765,0.22,2.3,0.78,0.064,9,42,49,0.9963,3.1,6,0.55,9.4,5
6.6,0.735,0.02,7.9,0.63,0.122,68,124,18,0.9994,3.47,47,0.53,9.9,5
7.7,0.26,0.3,1.7,0.88,0.059,20,38,13,0.9949,3.29,74,0.47,10.8,6
12.2,0.48,0.54,2.6,0.83,0.085,19,64,24,1,3.1,83,0.61,10.5,6
11.4,0.6,NA,2.7,0.98,0.085,10,41,38,0.9994,3.15,45,0.63,10.5,6
7.7,0.69,0.05,2.7,0.54,0.075,15,27,23,0.9974,3.26,49,0.61,9.1,5
8.7,0.31,0.46,1.4,0.73,0.059,11,25,50,0.9966,3.36,29,0.76,10.1,6
9.8,0.44,0.47,2.5,0.68,0.063,9,28,40,0.9981,3.24,74,0.65,10.8,6
12,0.39,0.66,3,0.73,0.093,12,30,12,0.9996,3.18,78,0.63,10.8,7
10.4,0.34,0.58,3.7,0.98,0.174,6,16,11,0.997,3.19,39,0.7,11.3,6
12.5,0.46,0.49,4.5,0.83,0.07,26,49,22,0.9981,3.05,15,0.57,9.6,4
9,0.43,0.34,2.5,0.98,0.08,26,86,37,0.9987,3.38,91,0.62,9.5,6
9.1,0.45,0.35,2.4,0.78,0.08,23,78,12,0.9987,3.38,59,0.62,9.5,5
7.1,0.735,0.16,1.9,0.59,0.1,15,77,43,0.9966,3.27,86,0.64,9.3,5
9.9,0.4,0.53,6.7,0.63,0.097,6,19,21,0.9986,3.27,14,0.82,11.7,7
8.8,0.52,0.34,2.7,0.59,0.087,24,122,25,0.9982,3.26,66,0.61,9.5,5
8.6,0.725,0.24,6.6,0.73,0.117,31,134,24,1.0014,3.32,59,1.07,9.3,5
10.6,0.48,0.64,2.2,0.78,0.111,6,20,12,0.997,3.26,16,0.66,11.7,6
7,0.58,0.12,1.9,0.88,0.091,34,124,12,0.9956,3.44,29,0.48,10.5,5
11.9,0.38,0.51,2,0.68,0.121,7,20,38,0.9996,3.24,41,0.76,10.4,6
6.8,0.77,0,1.8,0.78,0.066,34,52,25,0.9976,3.62,55,0.68,9.9,5
9.5,0.56,0.33,2.4,0.63,0.089,35,67,16,0.9972,3.28,32,0.73,11.8,7
6.6,0.84,0.03,2.3,0.68,0.059,32,48,46,0.9952,3.52,7,0.56,12.3,7
7.7,0.96,0.2,2,0.78,0.047,15,60,37,0.9955,3.36,84,0.44,10.9,5
10.5,0.24,0.47,2.1,0.73,0.066,6,24,24,0.9978,3.15,97,0.9,11,7
7.7,0.96,0.2,2,0.78,0.047,15,60,25,0.9955,3.36,75,0.44,10.9,5
6.6,0.84,0.03,2.3,0.73,0.059,32,48,32,0.9952,3.52,87,0.56,12.3,7
6.4,0.67,0.08,2.1,0.78,0.045,19,48,33,0.9949,3.49,87,0.49,11.4,6
9.5,0.78,0.22,1.9,0.83,0.077,6,32,25,0.9988,3.26,71,0.56,10.6,6
9.1,0.52,0.33,1.3,0.73,0.07,9,30,46,0.9978,3.24,82,0.6,9.3,5
12.8,0.84,0.63,2.4,0.93,0.088,13,35,21,0.9997,3.1,4,0.6,10.4,6
10.5,0.24,0.47,2.1,0.63,0.066,6,24,13,0.9978,3.15,62,0.9,11,7
7.8,0.55,0.35,2.2,0.88,0.074,21,66,49,0.9974,3.25,57,0.56,9.2,5
11.9,0.37,0.69,2.3,0.68,0.078,12,24,16,0.9958,3,44,0.65,12.8,6
12.3,0.39,0.63,2.3,0.83,0.091,6,18,41,1.0004,3.16,0,0.49,9.5,5
10.4,0.41,0.55,3.2,0.88,0.076,22,54,14,0.9996,3.15,53,0.89,9.9,6
12.3,0.39,0.63,2.3,0.78,0.091,6,18,18,1.0004,3.16,62,0.49,9.5,5
8,0.67,0.3,2,0.88,0.06,38,62,48,0.9958,3.26,76,0.56,10.2,6
11.1,0.45,0.73,3.2,0.78,0.066,6,22,41,0.9986,3.17,50,0.66,11.2,6
10.4,0.41,0.55,3.2,0.83,0.076,22,54,17,0.9996,3.15,70,0.89,9.9,6
7,0.62,0.18,1.5,0.54,0.062,7,50,50,0.9951,3.08,98,0.6,9.3,5
12.6,0.31,0.72,2.2,0.73,0.072,6,29,10,0.9987,2.88,11,0.82,9.8,8
11.9,0.4,0.65,2.15,0.98,0.068,7,27,41,0.9988,3.06,25,0.68,11.3,6
15.6,0.685,0.76,3.7,0.63,0.1,6,43,23,1.0032,2.95,56,0.68,11.2,7
10,0.44,0.49,2.7,0.98,0.077,11,19,15,0.9963,3.23,87,0.63,11.6,7
5.3,0.57,0.01,1.7,0.93,0.054,5,27,30,0.9934,3.57,62,0.84,12.5,7
9.5,0.735,0.1,2.1,0.88,0.079,6,31,20,0.9986,3.23,82,0.56,10.1,6
12.5,0.38,0.6,2.6,0.98,0.081,31,72,26,0.9996,3.1,4,0.73,10.5,5
9.3,0.48,0.29,2.1,0.63,0.127,6,16,25,0.9968,3.22,39,0.72,11.2,5
8.6,0.53,0.22,2,0.68,0.1,7,27,46,0.9967,3.2,4,0.56,10.2,6
11.9,0.39,0.69,2.8,0.98,0.095,17,35,29,0.9994,3.1,28,0.61,10.8,6
11.9,0.39,0.69,2.8,0.63,0.095,17,35,18,0.9994,3.1,21,0.61,10.8,6
8.4,0.37,0.53,1.8,0.63,0.413,9,26,44,0.9979,3.06,4,1.06,9.1,6
6.8,0.56,0.03,1.7,0.63,0.084,18,35,29,0.9968,3.44,79,0.63,10,6
10.4,0.33,0.63,2.8,0.88,0.084,5,22,15,0.9998,3.26,37,0.74,11.2,7
7,0.23,0.4,1.6,0.78,0.063,21,67,35,0.9952,3.5,99,0.63,11.1,5
11.3,0.62,0.67,5.2,0.73,0.086,6,19,12,0.9988,3.22,5,0.69,13.4,8
8.9,0.59,0.39,2.3,0.54,0.095,5,22,28,0.9986,3.37,43,0.58,10.3,5
9.2,0.63,0.21,2.7,0.73,0.097,29,65,22,0.9988,3.28,12,0.58,9.6,5
10.4,0.33,0.63,2.8,0.88,0.084,5,22,37,0.9998,3.26,14,0.74,11.2,7
11.6,0.58,0.66,2.2,0.63,0.074,10,47,45,1.0008,3.25,51,0.57,9,3
9.2,0.43,0.52,2.3,0.54,0.083,14,23,17,0.9976,3.35,58,0.61,11.3,6
8.3,0.615,0.22,2.6,0.73,0.087,6,19,22,0.9982,3.26,72,0.61,9.3,5
11,0.26,0.68,2.55,0.73,0.085,10,25,22,0.997,3.18,67,0.61,11.8,5
8.1,0.66,0.7,2.2,0.78,0.098,25,129,10,0.9972,3.08,6,0.53,9,5
11.5,0.315,0.54,2.1,0.78,0.084,5,15,32,0.9987,2.98,65,0.7,9.2,6
10,0.29,0.4,2.9,0.73,0.098,10,26,28,1.0006,3.48,69,0.91,9.7,5
10.3,0.5,0.42,2,0.59,0.069,21,51,45,0.9982,3.16,49,0.72,11.5,6
8.8,0.46,0.45,2.6,0.93,0.065,7,18,31,0.9947,3.32,13,0.79,14,6
11.4,0.36,0.69,2.1,0.68,0.09,6,21,20,1,3.17,27,0.62,9.2,6
8.7,0.82,0.02,1.2,0.68,0.07,36,48,43,0.9952,3.2,22,0.58,9.8,5
13,0.32,0.65,2.6,0.68,0.093,15,47,48,0.9996,3.05,9,0.61,10.6,5
9.6,0.54,0.42,2.4,0.98,0.081,25,52,29,0.997,3.2,38,0.71,11.4,6
12.5,0.37,0.55,2.6,0.68,0.083,25,68,14,0.9995,3.15,1,0.82,10.4,6
9.9,0.35,0.55,2.1,0.78,0.062,5,14,28,0.9971,3.26,80,0.79,10.6,5
10.5,0.28,0.51,1.7,0.68,0.08,10,24,30,0.9982,3.2,1,0.89,9.4,6
9.6,0.68,0.24,2.2,0.98,0.087,5,28,44,0.9988,3.14,10,0.6,10.2,5
9.3,0.27,0.41,2,0.88,0.091,6,16,37,0.998,3.28,77,0.7,9.7,5
10.4,0.24,0.49,1.8,0.88,0.075,6,20,50,0.9977,3.18,68,1.06,11,6
NA,0.68,0.24,2.2,0.73,0.087,5,28,45,0.9988,3.14,97,0.6,10.2,5
9.4,0.685,0.11,2.7,0.88,0.077,6,31,32,0.9984,3.19,78,0.7,10.1,6
10.6,0.28,0.39,15.5,0.93,0.069,6,23,46,1.0026,3.12,99,0.66,9.2,5
9.4,0.3,0.56,2.8,0.73,0.08,6,17,50,0.9964,3.15,66,0.92,11.7,8
10.6,0.36,0.59,2.2,0.88,0.152,6,18,50,0.9986,3.04,48,1.05,9.4,5
10.6,0.36,0.6,2.2,0.54,0.152,7,18,43,0.9986,3.04,27,1.06,9.4,5
10.6,0.44,0.68,4.1,0.88,0.114,6,24,19,0.997,3.06,91,0.66,13.4,6
10.2,0.67,0.39,1.9,0.63,0.054,6,17,12,0.9976,3.17,52,0.47,10,5
10.2,0.67,0.39,1.9,0.63,0.054,6,17,40,0.9976,3.17,26,0.47,10,5
10.2,0.645,0.36,1.8,0.68,0.053,5,14,50,0.9982,3.17,15,0.42,10,6
11.6,0.32,0.55,2.8,0.59,0.081,35,67,24,1.0002,3.32,29,0.92,10.8,7
NA,0.39,0.4,2.6,0.93,0.073,10,26,49,0.9984,3.34,69,0.75,10.2,6
9.3,0.775,0.27,2.8,0.68,0.078,24,56,31,0.9984,3.31,21,0.67,10.6,6
9.2,0.41,0.5,2.5,0.78,0.055,12,25,41,0.9952,3.34,100,0.79,13.3,7
8.9,0.4,0.51,2.6,0.88,0.052,13,27,15,0.995,3.32,60,0.9,13.4,7
8.7,0.69,0.31,3,0.73,0.086,23,81,49,1.0002,3.48,68,0.74,11.6,6
6.5,0.39,0.23,8.3,0.98,0.051,28,91,48,0.9952,3.44,0,0.55,12.1,6
10.7,0.35,0.53,2.6,0.73,0.07,5,16,39,0.9972,3.15,48,0.65,11,8
7.8,0.52,0.25,1.9,0.73,0.081,14,38,38,0.9984,3.43,45,0.65,9,6
7.2,0.34,0.32,2.5,0.68,0.09,43,113,36,0.9966,3.32,6,0.79,11.1,5
10.7,0.35,NA,2.6,0.54,0.07,5,16,47,0.9972,3.15,5,0.65,11,8
8.7,0.69,0.31,3,0.83,0.086,23,81,39,1.0002,3.48,11,0.74,11.6,6
7.8,0.52,0.25,1.9,0.54,0.081,14,38,27,0.9984,3.43,98,0.65,9,6
10.4,0.44,0.73,6.55,0.68,0.074,38,76,46,0.999,3.17,82,0.85,12,7
10.4,0.44,0.73,6.55,0.63,0.074,38,76,26,0.999,3.17,22,0.85,12,7
10.5,0.26,0.47,1.9,0.54,0.078,6,24,46,0.9976,3.18,17,1.04,10.9,7
10.5,0.24,0.42,1.8,0.63,0.077,6,22,16,0.9976,3.21,98,1.05,10.8,7
10.2,0.49,0.63,2.9,0.54,0.072,10,26,39,0.9968,3.16,68,0.78,12.5,7
10.4,0.24,0.46,1.8,0.63,0.075,6,21,33,0.9976,3.25,23,1.02,10.8,7
11.2,0.67,0.55,2.3,0.54,0.084,6,13,30,1,3.17,49,0.71,9.5,6
10,0.59,0.31,2.2,0.68,0.09,26,62,11,0.9994,3.18,19,0.63,10.2,6
13.3,0.29,0.75,2.8,0.73,0.084,23,43,15,0.9986,3.04,59,0.68,11.4,7
12.4,0.42,0.49,4.6,0.68,0.073,19,43,46,0.9978,3.02,3,0.61,9.5,5
10,0.59,0.31,2.2,0.78,0.09,26,62,10,0.9994,3.18,20,0.63,10.2,6
10.7,0.4,0.48,2.1,0.83,0.125,15,49,25,0.998,3.03,43,0.81,9.7,6
10.5,0.51,0.64,2.4,0.98,0.107,6,15,47,0.9973,3.09,77,0.66,11.8,7
10.5,0.51,0.64,2.4,0.59,0.107,6,15,10,0.9973,3.09,86,0.66,11.8,7
8.5,0.655,0.49,6.1,0.59,0.122,34,151,29,1.001,3.31,57,1.14,9.3,5
12.5,0.6,0.49,4.3,0.68,0.1,5,14,16,1.001,3.25,92,0.74,11.9,6
10.4,0.61,0.49,2.1,0.93,0.2,5,16,39,0.9994,3.16,55,0.63,8.4,3
10.9,0.21,0.49,2.8,0.59,0.088,11,32,44,0.9972,3.22,51,0.68,11.7,6
NA,0.365,0.49,2.5,0.68,0.088,39,106,33,0.9966,3.36,78,0.78,11,5
9.8,0.25,0.49,2.7,0.73,0.088,15,33,29,0.9982,3.42,82,0.9,10,6
7.6,0.41,0.49,2,0.93,0.088,16,43,41,0.998,3.48,65,0.64,9.1,5
8.2,0.39,0.49,2.3,0.78,0.099,47,133,28,0.9979,3.38,81,0.99,9.8,5
9.3,0.4,0.49,2.5,0.93,0.085,38,142,34,0.9978,3.22,11,0.55,9.4,5
9.2,0.43,0.49,2.4,0.59,0.086,23,116,14,0.9976,3.23,76,0.64,9.5,5
10.4,0.64,0.24,2.8,0.93,0.105,29,53,40,0.9998,3.24,87,0.67,9.9,5
7.3,0.365,0.49,2.5,0.73,0.088,39,106,10,0.9966,3.36,100,0.78,11,5
7,0.38,0.49,2.5,0.98,0.097,33,85,26,0.9962,3.39,84,0.77,11.4,6
8.2,0.42,0.49,2.6,0.83,0.084,32,55,31,0.9988,3.34,87,0.75,8.7,6
9.9,0.63,0.24,2.4,0.59,0.077,6,33,33,0.9974,3.09,15,0.57,9.4,5
9.1,0.22,0.24,2.1,0.59,0.078,1,28,25,0.999,3.41,75,0.87,10.3,6
11.9,0.38,0.49,2.7,0.78,0.098,12,42,12,1.0004,3.16,96,0.61,10.3,5
11.9,0.38,0.49,2.7,0.93,0.098,12,42,17,1.0004,3.16,48,0.61,10.3,5
10.3,0.27,0.24,2.1,0.54,0.072,15,33,23,0.9956,3.22,98,0.66,12.8,6
10,0.48,0.24,2.7,0.93,0.102,13,32,47,1,3.28,7,0.56,10,6
9.1,0.22,0.24,2.1,0.88,0.078,1,28,11,0.999,3.41,95,0.87,10.3,6
9.9,0.63,NA,2.4,0.54,0.077,6,33,15,0.9974,3.09,40,0.57,9.4,5
8.1,0.825,0.24,2.1,0.59,0.084,5,13,39,0.9972,3.37,52,0.77,10.7,6
12.9,0.35,0.49,5.8,0.98,0.066,5,35,27,1.0014,3.2,56,0.66,12,7
11.2,0.5,0.74,5.15,0.83,0.1,5,17,25,0.9996,3.22,11,0.62,11.2,5
9.2,0.59,0.24,3.3,0.88,0.101,20,47,43,0.9988,3.26,17,0.67,9.6,5
9.5,0.46,0.49,6.3,0.98,0.064,5,17,37,0.9988,3.21,27,0.73,11,6
9.3,0.715,0.24,2.1,0.93,0.07,5,20,15,0.9966,3.12,86,0.59,9.9,5
11.2,0.66,0.24,2.5,0.54,0.085,16,53,43,0.9993,3.06,71,0.72,11,6
14.3,0.31,0.74,1.8,0.54,0.075,6,15,11,1.0008,2.86,45,0.79,8.4,6
9.1,0.47,0.49,2.6,0.73,0.094,38,106,18,0.9982,3.08,49,0.59,9.1,5
7.5,0.55,0.24,2,0.83,0.078,10,28,47,0.9983,3.45,18,0.78,9.5,6
10.6,0.31,0.49,2.5,0.59,0.067,6,21,25,0.9987,3.26,75,0.86,10.7,6
12.4,0.35,0.49,2.6,0.68,0.079,27,69,44,0.9994,3.12,25,0.75,10.4,6
9,0.53,0.49,1.9,0.63,0.171,6,25,36,0.9975,3.27,11,0.61,9.4,6
6.8,0.51,0.01,2.1,0.93,0.074,9,25,18,0.9958,3.33,63,0.56,9.5,6
9.4,0.43,0.24,2.8,0.54,0.092,14,45,25,0.998,3.19,73,0.73,10,6
9.5,0.46,0.24,2.7,0.68,0.092,14,44,47,0.998,3.12,55,0.74,10,6
5,1.04,0.24,1.6,0.54,0.05,32,96,12,0.9934,3.74,81,0.62,11.5,5
15.5,0.645,0.49,4.2,0.59,0.095,10,23,11,1.00315,2.92,64,0.74,11.1,5
